variable	down_coef	d_lower	d_upper	d_Sig	weighted_coef	w_lower	w_upper	w_Sig
(Intercept)	3.927078	3.825892	4.028263	T	4.031376	4.011557	4.051194	T
edu2	0.000587	-0.007895	0.009069	F	-0.000496	-0.002073	0.001081	F
edu3	0.247776	0.191285	0.304267	T	0.224757	0.213814	0.235700	T
edu4	0.442315	0.373794	0.510835	T	0.419355	0.406121	0.432590	T
edu5	0.404306	0.320740	0.487871	T	0.400103	0.384036	0.416170	T
edu6	0.659496	0.587972	0.731020	T	0.620881	0.607070	0.634692	T
edu7	0.501431	0.404929	0.597933	T	0.526277	0.507590	0.544964	T
edu8	0.680135	0.547224	0.813045	T	0.628686	0.603138	0.654233	T
mon02	-0.000871	-0.010305	0.008563	F	-0.000681	-0.002357	0.000995	F
mon03	-0.000371	-0.008242	0.007500	F	-0.000311	-0.001794	0.001172	F
mon04	0.000642	-0.007972	0.009256	F	0.000457	-0.001094	0.002008	F
mon05	0.000232	-0.007329	0.007794	F	0.000202	-0.001236	0.001640	F
mon06	0.003535	-0.064766	0.071836	F	0.000676	-0.000997	0.002348	F
mon07	0.002346	-0.065423	0.070114	F	0.005965	-0.007216	0.019146	F
mon08	0.000571	-0.007828	0.008970	F	0.019911	0.006710	0.033113	T
mon09	0.000910	-0.008684	0.010503	F	0.003562	-0.009810	0.016934	F
mon10	0.000067	-0.007169	0.007303	F	-0.000063	-0.001448	0.001323	F
mon11	-0.029854	-0.099382	0.039674	F	-0.050632	-0.064186	-0.037077	T
mon12	-0.055446	-0.123537	0.012645	F	-0.034609	-0.047834	-0.021385	T
sexM	0.980870	0.939964	1.021777	T	0.987699	0.979787	0.995611	T
age	-0.074819	-0.076114	-0.073523	T	-0.076467	-0.076720	-0.076214	T
marM	-0.207475	-0.255941	-0.159010	T	-0.185242	-0.194643	-0.175840	T
marS	-0.402659	-0.462324	-0.342993	T	-0.384464	-0.396057	-0.372872	T
marW	-0.258116	-0.324637	-0.191596	T	-0.199692	-0.212601	-0.186784	T
race2	-1.356980	-1.423657	-1.290302	T	-1.331619	-1.344593	-1.318646	T
race3	-0.000367	-0.008277	0.007543	F	-0.000933	-0.002808	0.000942	F
race4	0.000411	-0.007596	0.008418	F	0.000386	-0.001137	0.001909	F

